Date=Tue, 17 May 2011 15:35:19 -0400, Type=USR, Id=ERR0000, Details=testing, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:03:54 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:04:37 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:06:03 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:18:41 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:18:55 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:19:20 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:19:30 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:21:23 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:28:32 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:30:49 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:41:24 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:44:22 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:44:22 -0400, Type=SYS, Id=ERR0403, Details=Error: Connection failed: could not find driver, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:49:19 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:49:19 -0400, Type=SYS, Id=ERR0403, Details=Error: Connection failed: could not find driver, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:57:17 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:57:17 -0400, Type=SYS, Id=ERR0403, Details=Error: Connection failed: SQLSTATE[28000] [1045] Access denied for user 'bmsuser'@'localhost' (using password: YES), Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:58:05 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 21:58:05 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:35:19 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:35:19 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:35:24 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:35:24 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:36:04 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:36:04 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:36:52 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:36:52 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:37:18 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:37:18 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:38:16 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:38:16 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:48:32 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:48:32 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:49:02 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: sqlite:/root/Mounts/G/Default/Workspace/BMS1/Database/BMSAdmin.sdb, Line=N/A, File=N/A
Date=Fri, 03 Jun 2011 22:49:02 -0400, Type=SYS, Id=ERRx0118, Details=Debug: Successful connection to: DSN: mysql:host=localhost;port=3306;dbname=bmsdb, Line=N/A, File=N/A
